timestamp,user,enabled_roles,action,entity_category,entity,result,query_id
2026-09-17T15:45:31.146984Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.email,COLUMN_MASK,20260917_154531_01530_ueuue
2026-09-17T15:45:31.146972Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.mobile_number,COLUMN_MASK,20260917_154531_01530_ueuue
2026-09-17T15:45:31.146930Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.national_id,COLUMN_MASK,20260917_154531_01530_ueuue
2026-09-17T15:45:31.138631Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154531_01530_ueuue
2026-09-17T15:45:31.082955Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154531_01529_ueuue
2026-09-17T15:45:31.017886Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154531_01528_ueuue
2026-09-17T15:45:30.910482Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.*,ROW_FILTER,20260917_154530_01527_ueuue
2026-09-17T15:45:30.905448Z,gov-fraud,gov_fraud_analyst|public,SELECT,Tables,"js_financial_ice.gov_demo.customer_transactions.[fraud_flag,account_id,country_code,customer_name,mobile_number,investigation_status,risk_score,transaction_i...",ALLOW,20260917_154530_01527_ueuue
2026-09-17T15:45:30.903898Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.customer_name,COLUMN_MASK,20260917_154530_01527_ueuue
2026-09-17T15:45:30.903890Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.email,COLUMN_MASK,20260917_154530_01527_ueuue
2026-09-17T15:45:30.903878Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.mobile_number,COLUMN_MASK,20260917_154530_01527_ueuue
2026-09-17T15:45:30.903838Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.national_id,COLUMN_MASK,20260917_154530_01527_ueuue
2026-09-17T15:45:30.893853Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154530_01527_ueuue
2026-09-17T15:45:30.840770Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154530_01526_ueuue
2026-09-17T15:45:30.795303Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154530_01525_ueuue
2026-09-17T15:45:30.679938Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.*,ROW_FILTER,20260917_154530_01524_ueuue
2026-09-17T15:45:30.674681Z,gov-fraud,gov_fraud_analyst|public,SELECT,Tables,"js_financial_ice.gov_demo.customer_transactions.[fraud_flag,customer_name,mobile_number,risk_score,national_id,email]",ALLOW,20260917_154530_01524_ueuue
2026-09-17T15:45:30.673079Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.customer_name,COLUMN_MASK,20260917_154530_01524_ueuue
2026-09-17T15:45:30.673067Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.email,COLUMN_MASK,20260917_154530_01524_ueuue
2026-09-17T15:45:30.673050Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.mobile_number,COLUMN_MASK,20260917_154530_01524_ueuue
2026-09-17T15:45:30.673021Z,gov-fraud,gov_fraud_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.national_id,COLUMN_MASK,20260917_154530_01524_ueuue
2026-09-17T15:45:30.666514Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154530_01524_ueuue
2026-09-17T15:45:30.622340Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154530_01523_ueuue
2026-09-17T15:45:30.579074Z,gov-fraud,gov_fraud_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154530_01522_ueuue
2026-09-17T15:45:30.448201Z,gov-admin,gov_data_admin|public,SHOW,Roles,All roles,ALLOW,20260917_154530_01521_ueuue
2026-09-17T15:45:30.447923Z,gov-admin,gov_data_admin|public,EXECUTE,Queries,,ALLOW,20260917_154530_01521_ueuue
2026-09-17T15:45:30.399124Z,gov-admin,gov_data_admin|public,EXECUTE,Queries,,ALLOW,20260917_154530_01520_ueuue
2026-09-17T15:45:30.355228Z,gov-admin,gov_data_admin|public,EXECUTE,Queries,,ALLOW,20260917_154530_01519_ueuue
2026-09-17T15:45:30.260857Z,gov-admin,gov_data_admin|public,SELECT,Tables,"js_financial_ice.gov_demo.customer_transactions.[fraud_flag,investigation_status,fraud_type]",ALLOW,20260917_154530_01518_ueuue
2026-09-17T15:45:30.247102Z,gov-admin,gov_data_admin|public,EXECUTE,Queries,,ALLOW,20260917_154530_01518_ueuue
2026-09-17T15:45:30.201023Z,gov-admin,gov_data_admin|public,EXECUTE,Queries,,ALLOW,20260917_154530_01517_ueuue
2026-09-17T15:45:30.155100Z,gov-admin,gov_data_admin|public,EXECUTE,Queries,,ALLOW,20260917_154530_01516_ueuue
2026-09-17T15:45:30.054990Z,gov-admin,gov_data_admin|public,SELECT,Tables,"js_financial_ice.gov_demo.customer_transactions.[fraud_flag,account_id,country_code,customer_name,mobile_number,investigation_status,risk_score,transaction_i...",ALLOW,20260917_154530_01515_ueuue
2026-09-17T15:45:30.048747Z,gov-admin,gov_data_admin|public,EXECUTE,Queries,,ALLOW,20260917_154530_01515_ueuue
2026-09-17T15:45:30.001743Z,gov-admin,gov_data_admin|public,EXECUTE,Queries,,ALLOW,20260917_154529_01514_ueuue
2026-09-17T15:45:29.958900Z,gov-admin,gov_data_admin|public,EXECUTE,Queries,,ALLOW,20260917_154529_01513_ueuue
2026-09-17T15:45:29.853960Z,gov-admin,gov_data_admin|public,SELECT,Tables,js_financial_ice.gov_demo.customer_transactions.country_code,ALLOW,20260917_154529_01512_ueuue
2026-09-17T15:45:29.848641Z,gov-admin,gov_data_admin|public,EXECUTE,Queries,,ALLOW,20260917_154529_01512_ueuue
2026-09-17T15:45:29.796384Z,gov-admin,gov_data_admin|public,EXECUTE,Queries,,ALLOW,20260917_154529_01511_ueuue
